"AN.57014","1.0","1","176.0","24.0","1420.0","560.0",,,,"30.0","6.0"
"AN.57015","1.0","1","174.0","23.0","1350.0","600.0",,,,"30.0","7.0"
"AN.57017","1.0","2","167.5","24.0","1470.0","612.5",,,,"30.0","6.0"
"AN.57018","1.0","2","174.0","18.5","1380.0","596.25",,,,"26.5","6.5"
"AN.57019","1.0","1","168.0","24.0","1440.0","580.0",,,,"30.0","6.0"
"AN.57021","1.0","1","181.0","24.0","1405.0","585.0",,,,"30.0","7.0"
"AN.57022","1.0","1","172.0","20.0","1495.0","585.0",,,,"28.0","6.0"
"AN.57023","1.0","1","170.0","25.0","1415.0","595.0",,,,"31.0","6.0"
"AN.57024","1.0","1","168.0","24.0","1545.0","605.0",,,,"30.0","7.0"
"AN.57025","1.0","1","170.0","21.0","1580.0","585.0",,,,"30.0","7.0"
"AN.57026","2.0","1","179.0","26.0","1155.0","620.0","7.0","0.0","40.0",,
"AN.57027","2.0","1","174.0","26.0","1150.0","570.0","7.0","0.0","50.0","48.0","5.0"
"AN.57028","1.0","1","182.0","25.0","1535.0","585.0",,,,"31.0","7.0"
"AN.57029","1.0","1","177.0","23.0","1480.0","615.0",,,,"30.0","6.0"
"AN.57030","1.0","1","174.0","23.0","1435.0","605.0",,,,"32.0","7.0"
"AN.57031","1.0","1","175.0","25.0","1475.0","560.0",,,,"30.0","6.0"
"AN.57032","1.0","1","166.0","22.0","1475.0","575.0",,,,"30.0","6.0"
"AN.57033","1.0","1","175.0","24.0","1440.0","600.0",,,,"32.0","6.0"
"AN.57034","1.0","2","172.0","24.5","1507.5","577.5",,,,"32.0","5.5"
"AN.57035","1.0","2","176.5","22.5","1507.5","587.5",,,,"30.5","7.5"
"AN.57037","1.0","1","165.0","29.0","1220.0","570.0",,,,"37.0","4.0"
"AN.57041","2.0","2","175.75","21.0","1215.0","593.75","7.0","0.0","30.0","29.0","7.0"
"AN.57044","1.0","1","178.0","20.0","1335.0","605.0",,,,,
"AN.57045","2.0","1","169.0","17.0","1220.0","600.0","5.0","15.0","80.0","26.0","7.0"
"AN.57046","2.0","1","168.0","19.0","1225.0","610.0","7.0","0.0","40.0","30.0","6.0"
"AN.57047","2.0","1","178.0","19.0","1250.0","605.0","7.0","0.0","30.0","27.0","7.0"
"AN.57048","2.0","2","167.0","15.0","1215.0","590.0","4.0","35.0","60.0","27.5","7.0"
"AN.57049","1.0","1","178.0","19.0","1370.0","595.0",,,,"26.0","6.0"
"AN.57060","1.0","1","173.0","22.0","1220.0","575.0",,,,"29.0","6.0"
"AN.57061","2.0","1","179.0","24.0","1285.0","595.0","5.0","25.0","60.0","30.0","7.0"
"AN.57062","2.0","1","175.0","22.0","1325.0","600.0","7.0","0.0","30.0","30.0","6.0"
"AN.57063","1.0","1","178.0","22.0","1480.0","600.0",,,,"32.0","6.0"
"AN.57064","2.0","1","176.0","28.0","1290.0","590.0",,,,"37.0","6.0"
"AN.57075","2.0","1","169.0","24.0","1255.0","590.0","6.0","3.0","20.0","30.0","7.0"
"AN.57076","2.0","1","178.0","20.0","1240.0","600.0","7.0","0.0","70.0","30.0","7.0"
"AN.57083","1.0","1","167.0","24.0","1305.0","570.0",,,,"31.0","6.0"
"AN.57084","2.0","1","169.0","20.0","1235.0","595.0","7.0","0.0","30.0","31.0","6.0"
"AN.57085","1.0","1","176.0","28.0","1315.0","595.0",,,,"32.0","6.0"
"AN.57086","2.0","2","176.0","26.5","1200.0","607.5","6.0","0.0","45.0","34.5","6.5"
"AN.57087","2.0","1","171.0","26.0","1195.0","575.0","7.0","0.0","50.0","32.0","6.0"
"AN.57088","2.0","2","174.0","22.0","1190.0","592.5","6.0","5.0","50.0","33.5","6.0"
"AN.57089","2.0","2","183.5","24.5","1312.5","600.0","4.0","50.0","70.0","36.5","6.0"
"AN.57090","2.0","1","176.0","24.0","1270.0","605.0","6.0","5.0","70.0","31.0","6.0"
"AN.57092","2.0","1","169.0","24.0","1180.0","625.0","6.0","5.0","30.0","34.0","7.0"
"AN.57093","2.0","1","176.0","13.0","1210.0","605.0","7.0","0.0","45.0","30.0","7.0"
"AN.57094","2.0","5","174.8","10.6","1270.0","604.0","7.0","0.0","32.5","27.6","6.4"
"AN.57095","2.0","1","173.0","21.0","1200.0","615.0","7.0","0.0","30.0","31.0","6.0"
"AN.57096","2.0","1","178.0","23.0","1310.0","600.0","6.0","5.0","60.0","30.0","6.0"
"AN.57098","1.0","1","178.0","24.0","1180.0","580.0",,,,"31.0","6.0"
"AN.57099","2.0","1","176.0","22.0","1180.0","615.0","7.0","0.0","50.0","31.0","7.0"
"AN.57100","2.0","1","184.0","23.0","1210.0","615.0","7.0","0.0","20.0","31.0","6.0"
"AN.57158","2.0","1","178.0","28.5","1250.0","600.0","7.0","0.0","80.0","38.0","6.0"
"AN.57164","2.0","2","183.0","21.5","1240.0","605.0","7.0","0.0","40.0","32.5","7.0"
"AN.57171","1.0","1","168.0","34.0","1270.0","590.0",,,,"38.0","6.0"
"AN.57200","2.0","1","178.0","32.0","1170.0","610.0","7.0","0.0","50.0",,
"AN.57202","2.0","2","168.5","31.25","1240.0","600.0","7.0","0.0","15.0","43.5","6.0"
"AN.57206","2.0","2","172.0","23.5","1180.0","610.0","7.0","0.0","35.0","34.5","6.5"
"AN.57207","1.0","1","169.0","26.0","1250.0","595.0",,,,"33.0","6.0"
"AN.57214","1.0","1","170.0","35.0","1450.0","575.0",,,,"41.0","5.0"
"AN.57215","2.0","2","176.5","18.5","1190.0","597.5","7.0","0.0","50.0","30.5","6.5"
"AN.57216","2.0","1","168.0","21.0","1170.0","600.0","7.0","0.0","40.0","30.0","6.0"
"AN.57217","2.0","1","178.0","14.0","1170.0","600.0","6.0","2.0","40.0","28.0","5.0"
"AN.57218","2.0","1","177.0","23.0","1270.0","580.0","6.0","5.0","50.0","32.0","6.0"
"AN.57219","2.0","1","168.0","16.0","1170.0","610.0","4.0","50.0","60.0","28.0","7.0"
"AN.57220","1.0","1","173.0","26.0","1270.0","605.0",,,,"32.0","6.0"
"AN.57221","1.0","1","176.0","18.0","1270.0","575.0",,,,"28.0","7.0"
"AN.57222","1.0","3","169.33333","21.0","1286.6666","588.3333",,,,"28.333334","6.0"
"AN.57223","1.0","1","175.0","34.0","1430.0","590.0",,,,"40.0","6.0"
"AN.57225","1.0","1","168.0","21.0","1170.0","600.0",,,,"27.0","7.0"
"AN.57233","2.0","2","179.5","22.0","1350.0","625.0","4.5","27.5","50.0","30.0","6.0"
"AN.57234","1.0","1","176.0","26.0","1310.0","590.0",,,,"33.0","7.0"
"AN.57235","2.0","1","176.0","16.0","1270.0","600.0","7.0","0.0","30.0","32.0","7.0"
"AN.57236","2.0","1","177.0","23.0","1140.0","600.0","7.0","0.0","50.0","30.0","7.0"
"AN.57241","1.0","1","172.0","23.0","1280.0","610.0",,,,,
