"AL.71509","2011.0","1.0","1410.0","595.0","173.0","20.0",,,,"29.0","7.0","6.0","0","1","13.0","2"
"AL.71843","2007.0","1.0","1270.0","575.0","176.0","19.0",,,,"32.0","6.0","6.0","2","0","5.0","1"
"AL.72121","2008.0","2.0","1150.0","600.0","179.0","25.0",,,,"38.0","6.0","6.0","0","0","7.0","2"
"AL.72534","2007.0","1.0","1140.0","570.0","173.0","27.0",,,,"34.0","6.0","6.0",,"0","5.0","1"
"AL.72725","2008.0","1.0","1260.0","595.0","165.0","23.0",,,,"32.0","7.0","6.0","1","0","7.0","2"
"AL.72753","2007.0","1.0","1295.0","555.0","174.0","26.0",,,,"31.0","6.0","4.0","0","0","5.0","1"
"AL.75131","2009.0","1.0","1260.0","610.0","175.0","22.5",,,,"28.0","7.0","6.0","0","0","7.0","2"
"AL.75223","2010.0","1.0","1460.0","590.0","168.5","24.0",,,,"34.0","7.0","7.0","0","0","9.0","2"
"AL.75302","2009.0","1.0","1280.0","590.0","178.0","37.0",,,,"42.0","7.0","7.0","0","0","7.0","2"
"AL.75442","2011.0","1.0","1320.0","610.0","173.0","28.0",,,,"34.0","6.0","6.0","0","0","11.0","2"
"AL.76205","2008.0","2.0","1240.0","630.0","176.0","20.0","4","50","70","29.0","7.0","4.0",,"0","7.0","2"
"AL.76280","2008.0","1.0","1610.0","580.0","170.0","24.0",,,,"29.0","6.0","6.0",,"0","7.0","2"
"AL.77532","2009.0","1.0","1390.0","580.0","164.0","29.5",,,,"37.0","7.0","7.0","2","1","7.0","2"
"AL.77532","2011.0","1.0","1560.0","590.0","164.0","22.0",,,,"32.0","6.0","6.0","2","1","11.0","2"
"AL.78027","2010.0","1.0","1370.0","590.0","165.0","25.0",,,,"33.0","6.0","6.0",,"0","7.0","2"
"AL.78939","2011.0","2.0","1220.0","610.0","174.0","10.5",,,,"26.0","7.0","7.0","0","1","7.0","2"
"AL.82253","2008.0","2.0","1170.0","590.0","167.0","22.0","5",,,"38.0","6.0","6.0","0","1","7.0","2"
"AL.82253","2009.0","2.0","1180.0","600.0","165.0","11.0","6",,"70","38.0","7.0","3.0","0","1","9.0","2"
"AL.82253","2011.0","2.0","1160.0","610.0","167.0","16.0","6",,"60","32.0","7.0","4.0","0","1","13.0","2"
"AL.82253","2012.0","2.0","1150.0","615.0","170.0","12.0","6",,"50","32.0","6.0","5.0","1","1","15.0","2"
"AL.82253","2013.0","2.0","1180.0","615.0","168.0","15.0","6",,"50","34.0","7.0","6.0","0","0","17.0","2"
"AL.98527","2013.0","1.0","1520.0","585.0","171.0","43.0",,,,"47.0","6.0","0.0",,"0","5.0","1"
"AN.57001","2007.0","2.0","1230.0","605.0","172.0","13.0","5","25","75","26.0","7.0","4.0","1","1","5.0","1"
"AN.57002","2007.0","2.0","1230.0","615.0","176.0","13.0","4","40","80","25.0","8.0","6.0","0","1","6.0","2"
"AN.57002","2008.0","2.0","1280.0","615.0","177.0","19.0",,,,"30.0","7.0","6.0","0","1","8.0","2"
"AN.57002","2009.0","2.0","1320.0","635.0","175.0","8.0","5","25","70",,,,"0","1","10.0","2"
"AN.57002","2010.0","2.0","1250.0","625.0","178.0","19.0","5","20","60","33.0","7.0","4.0",,"0","12.0","2"
"AN.57003","2007.0","2.0","1170.0","605.0","164.0","16.0","4","25","60","25.0","6.0","5.0","1","0","4.0","1"
"AN.57004","2007.0","2.0","1160.0","610.0","173.0","14.0","4","40",,"32.0","6.0","6.0","2","0","5.0","1"
"AN.57005","2008.0","1.0","1440.0","625.0","177.0","20.0",,,,"30.0","8.0","8.0",,"0","7.0","2"
"AN.57006","2007.0","1.0","1555.0","585.0","176.0","18.0",,,,"25.0","7.0","5.0",,"1","5.0","1"
"AN.57006","2008.0","1.0","1520.0","610.0","176.0","21.0",,,,"30.0","7.0","5.0",,"1","7.0","2"
"AN.57007","2007.0","1.0","1560.0","610.0","176.0","17.0",,,,"26.0","6.0","6.0","1","0","6.0","2"
